City,Country,Datetime,Latitude,Max Temperature (F),Humidity %,Cloudiness %,Windspeed (mph)
Teahupoo,PF,1538022600,-17.83,77.0,61,20,4.7
Moussoro,TD,1538024839,13.64,75.99,78,48,2.84
Gold Coast,AU,1538022600,-28.0,69.8,64,90,11.41
Nebbi,UG,1538024840,2.48,77.79,61,0,3.96
Bone,ID,1538020800,-5.29,91.4,46,20,10.29
Atbasar,KZ,1538024841,51.81,67.44,51,0,7.43
Scalea,IT,1538024841,39.82,65.28,100,0,18.72
Cabinda,AO,1538024841,-5.56,74.46,100,92,8.88
Alice Springs,AU,1538022600,-23.7,87.8,5,0,8.05
Jalu,LY,1538024842,29.03,73.47,76,12,8.43
Long Xuyen,VN,1538024842,10.39,89.76,73,32,12.12
Huarmey,PE,1538024842,-10.07,53.22,83,0,3.29
Palm Coast,US,1538020560,29.55,78.98,84,1,4.7
Turukhansk,RU,1538024843,65.8,47.73,95,100,15.7
Bagotville,AU,1538024843,-28.98,68.88,99,0,8.77
Bambanglipuro,ID,1538024843,-7.95,89.22,39,0,10.67
Mosquera,CO,1538020800,4.71,53.6,93,75,2.24
Sjovegan,NO,1538023800,68.87,37.4,93,75,19.46
Bandarbeyla,SO,1538024844,9.49,78.69,94,0,18.05
Kerkini,GR,1538024844,41.22,38.64,61,0,2.17
Veselynove,UA,1538022600,47.36,39.2,86,0,10.22
Kalmunai,LK,1538024845,7.42,86.61,78,20,3.96
Port-Gentil,GA,1538024845,-0.72,76.89,98,20,8.43
Dubai,AE,1538020800,25.27,89.6,59,0,11.41
Mpika,ZM,1538024846,-11.84,71.13,61,0,12.68
Vilyuysk,RU,1538024846,63.75,54.66,55,48,3.62
Baruun-Urt,MN,1538024846,46.68,54.39,86,92,21.74
Lorengau,PG,1538024847,-2.02,84.54,100,0,3.18
Sabha,LY,1538024847,27.03,71.76,71,12,9.22
El Alto,BO,1538020800,-16.5,35.6,80,75,5.82
Jiuquan,CN,1538024848,39.73,47.82,67,0,4.18
Novorozhdestvenskaya,RU,1538024848,45.87,53.76,76,0,4.97
Bajos de Haina,DO,1538020800,18.41,77.0,88,40,4.7
Vavuniya,LK,1538024848,8.76,85.44,86,68,6.64
Walvis Bay,NA,1538020800,-22.95,48.2,93,0,3.36
Tonota,BW,1538024849,-21.44,71.67,36,0,11.23
Port Moresby,PG,1538020800,-9.47,82.4,65,40,19.46
Nago,IT,1538022000,45.88,46.4,87,0,1.12
Kruisfontein,ZA,1538024733,-34.0,60.87,74,0,6.64
Portland,US,1538023980,45.52,69.08,56,1,5.82
Kununurra,AU,1538022600,-15.77,95.0,28,75,4.7
Mazagao,BR,1538024400,-0.12,80.6,83,40,9.17
Manbij,SY,1538022000,36.53,59.0,77,0,4.52
Sabang,PH,1538024850,13.72,86.34,80,48,12.24
Ampanihy,MG,1538024851,-24.69,82.11,38,0,4.63
Albertville,FR,1538022600,45.68,46.4,93,0,2.24
Kirakira,SB,1538024760,-10.46,77.16,100,92,27.11
Santander,PH,1538020800,9.42,82.4,88,75,4.7
Entre Rios,BR,1538024852,-11.94,74.64,93,92,6.98
Veraval,FR,1538022600,49.65,50.0,81,0,3.36
San Francisco,US,1538023200,37.78,73.04,82,1,3.4
Marrakesh,MA,1538022600,31.63,71.6,56,40,4.7
Kankon,IN,1538024854,15.02,77.07,100,80,5.19
Lucapa,AO,1538024854,-8.42,72.39,83,8,6.98
Novoagansk,RU,1538024809,61.94,62.13,65,36,8.55
Ygatimi,PY,1538024855,-24.08,73.56,76,76,2.62
Kuala Terengganu,MY,1538020800,5.33,89.6,66,75,4.7
Amos,CA,1538023200,48.57,42.8,100,75,4.7
Seoul,KR,1538022600,37.57,74.12,40,20,9.17
Anadyr,RU,1538022600,64.73,48.2,93,90,24.61
Tazovskiy,RU,1538024856,67.47,55.92,81,8,18.72
Neiafu,TO,1538020800,-18.65,80.6,69,40,9.17
Port Hedland,AU,1538022600,-20.31,96.8,19,0,16.11
Navalagunda,IN,1538024856,15.56,82.11,95,0,4.63
Igarka,RU,1538024857,67.47,50.43,96,92,15.7
Cascais,PT,1538022600,38.7,71.6,83,0,6.93
Saiha,IN,1538024857,22.49,78.33,85,68,2.28
Skelleftea,SE,1538022000,64.75,42.8,60,56,23.04
Ambilobe,MG,1538024857,-13.19,82.47,42,0,17.94
Bosaso,SO,1538020800,11.28,86.0,62,0,11.41
Meulaboh,ID,1538024858,4.14,84.54,98,8,4.18
Chipata,ZM,1538024858,-13.64,74.82,52,0,12.68
Christchurch,NZ,1538022600,-43.53,55.4,35,0,6.93
Fukagawa,JP,1538020800,43.72,59.0,72,75,3.36
Srono,ID,1538024859,-8.4,87.69,43,0,4.18
Hopelchen,MX,1538019780,19.77,75.2,94,90,3.62
Vestmannaeyjar,IS,1538024859,63.44,40.44,100,80,7.43
Saint-Augustin,FR,1538022600,44.83,59.0,67,0,8.05
Tacoronte,ES,1538022600,28.48,71.6,46,0,12.75
Sokoni,CD,1538024860,-12.89,74.73,40,0,9.66
Banjar,ID,1538024860,-7.37,89.85,34,0,8.21
